,Country,Indicator,Year,Amount
1954,Ireland,RD&D per thousand units of GDP,2001,0.0
1973,Ireland,RD&D per thousand units of GDP,2020,0.0
2068,Italy,RD&D per thousand units of GDP,1974,0.0
2069,Italy,RD&D per thousand units of GDP,1975,0.0
1949,Ireland,RD&D per thousand units of GDP,1996,0.0
2367,Korea,RD&D per thousand units of GDP,1991,0.0
2368,Korea,RD&D per thousand units of GDP,1992,0.0
2369,Korea,RD&D per thousand units of GDP,1993,0.0
2498,Lithuania,RD&D per thousand units of GDP,1981,0.0
2499,Lithuania,RD&D per thousand units of GDP,1982,0.0
2500,Lithuania,RD&D per thousand units of GDP,1983,0.0
2501,Lithuania,RD&D per thousand units of GDP,1984,0.0
2502,Lithuania,RD&D per thousand units of GDP,1985,0.0
2503,Lithuania,RD&D per thousand units of GDP,1986,0.0
2504,Lithuania,RD&D per thousand units of GDP,1987,0.0
2505,Lithuania,RD&D per thousand units of GDP,1988,0.0
2497,Lithuania,RD&D per thousand units of GDP,1980,0.0
2506,Lithuania,RD&D per thousand units of GDP,1989,0.0
2508,Lithuania,RD&D per thousand units of GDP,1991,0.0
2509,Lithuania,RD&D per thousand units of GDP,1992,0.0
2510,Lithuania,RD&D per thousand units of GDP,1993,0.0
2511,Lithuania,RD&D per thousand units of GDP,1994,0.0
2512,Lithuania,RD&D per thousand units of GDP,1995,0.0
2513,Lithuania,RD&D per thousand units of GDP,1996,0.0
2514,Lithuania,RD&D per thousand units of GDP,1997,0.0
2515,Lithuania,RD&D per thousand units of GDP,1998,0.0
2507,Lithuania,RD&D per thousand units of GDP,1990,0.0
2496,Lithuania,RD&D per thousand units of GDP,1979,0.0
2495,Lithuania,RD&D per thousand units of GDP,1978,0.0
2494,Lithuania,RD&D per thousand units of GDP,1977,0.0
2370,Korea,RD&D per thousand units of GDP,1994,0.0
2371,Korea,RD&D per thousand units of GDP,1995,0.0
2372,Korea,RD&D per thousand units of GDP,1996,0.0
2373,Korea,RD&D per thousand units of GDP,1997,0.0
2374,Korea,RD&D per thousand units of GDP,1998,0.0
2375,Korea,RD&D per thousand units of GDP,1999,0.0
2376,Korea,RD&D per thousand units of GDP,2000,0.0
2377,Korea,RD&D per thousand units of GDP,2001,0.0
2379,Korea,RD&D per thousand units of GDP,2003,0.0
3652,Slovak Republic,RD&D per thousand units of GDP,2007,0.0
3651,Slovak Republic,RD&D per thousand units of GDP,2006,0.0
3650,Slovak Republic,RD&D per thousand units of GDP,2005,0.0
3649,Slovak Republic,RD&D per thousand units of GDP,2004,0.0
3648,Slovak Republic,RD&D per thousand units of GDP,2003,0.0
3647,Slovak Republic,RD&D per thousand units of GDP,2002,0.0
2396,Korea,RD&D per thousand units of GDP,2020,0.0
2491,Lithuania,RD&D per thousand units of GDP,1974,0.0
2492,Lithuania,RD&D per thousand units of GDP,1975,0.0
2493,Lithuania,RD&D per thousand units of GDP,1976,0.0
1808,Hungary,RD&D per thousand units of GDP,1996,0.0
1807,Hungary,RD&D per thousand units of GDP,1995,0.0
1806,Hungary,RD&D per thousand units of GDP,1994,0.0
1805,Hungary,RD&D per thousand units of GDP,1993,0.0
4198,Turkey,RD&D per thousand units of GDP,1989,0.0
4197,Turkey,RD&D per thousand units of GDP,1988,0.0
4196,Turkey,RD&D per thousand units of GDP,1987,0.0
4195,Turkey,RD&D per thousand units of GDP,1986,0.0
4194,Turkey,RD&D per thousand units of GDP,1985,0.0
4193,Turkey,RD&D per thousand units of GDP,1984,0.0
4192,Turkey,RD&D per thousand units of GDP,1983,0.0
4191,Turkey,RD&D per thousand units of GDP,1982,0.0
1237,Finland,RD&D per thousand units of GDP,1989,0.0
4190,Turkey,RD&D per thousand units of GDP,1981,0.0
4188,Turkey,RD&D per thousand units of GDP,1979,0.0
4187,Turkey,RD&D per thousand units of GDP,1978,0.0
1268,Finland,RD&D per thousand units of GDP,2020,0.0
1363,France,RD&D per thousand units of GDP,1974,0.0
1364,France,RD&D per thousand units of GDP,1975,0.0
1365,France,RD&D per thousand units of GDP,1976,0.0
1366,France,RD&D per thousand units of GDP,1977,0.0
1367,France,RD&D per thousand units of GDP,1978,0.0
4189,Turkey,RD&D per thousand units of GDP,1980,0.0
1236,Finland,RD&D per thousand units of GDP,1988,0.0
1235,Finland,RD&D per thousand units of GDP,1987,0.0
1234,Finland,RD&D per thousand units of GDP,1986,0.0
1112,Estonia,RD&D per thousand units of GDP,2005,0.0
1113,Estonia,RD&D per thousand units of GDP,2006,0.0
1114,Estonia,RD&D per thousand units of GDP,2007,0.0
1115,Estonia,RD&D per thousand units of GDP,2008,0.0
1116,Estonia,RD&D per thousand units of GDP,2009,0.0
1117,Estonia,RD&D per thousand units of GDP,2010,0.0
4219,Turkey,RD&D per thousand units of GDP,2010,0.0
1222,Finland,RD&D per thousand units of GDP,1974,0.0
1223,Finland,RD&D per thousand units of GDP,1975,0.0
1224,Finland,RD&D per thousand units of GDP,1976,0.0
1225,Finland,RD&D per thousand units of GDP,1977,0.0
1226,Finland,RD&D per thousand units of GDP,1978,0.0
1227,Finland,RD&D per thousand units of GDP,1979,0.0
1228,Finland,RD&D per thousand units of GDP,1980,0.0
1229,Finland,RD&D per thousand units of GDP,1981,0.0
1230,Finland,RD&D per thousand units of GDP,1982,0.0
1231,Finland,RD&D per thousand units of GDP,1983,0.0
1232,Finland,RD&D per thousand units of GDP,1984,0.0
1233,Finland,RD&D per thousand units of GDP,1985,0.0
1368,France,RD&D per thousand units of GDP,1979,0.0
2516,Lithuania,RD&D per thousand units of GDP,1999,0.0
1369,France,RD&D per thousand units of GDP,1980,0.0
1371,France,RD&D per thousand units of GDP,1982,0.0
1786,Hungary,RD&D per thousand units of GDP,1974,0.0
1787,Hungary,RD&D per thousand units of GDP,1975,0.0
1788,Hungary,RD&D per thousand units of GDP,1976,0.0
1789,Hungary,RD&D per thousand units of GDP,1977,0.0
1790,Hungary,RD&D per thousand units of GDP,1978,0.0
1791,Hungary,RD&D per thousand units of GDP,1979,0.0
1792,Hungary,RD&D per thousand units of GDP,1980,0.0
1793,Hungary,RD&D per thousand units of GDP,1981,0.0
1691,Greece,RD&D per thousand units of GDP,2020,0.0
1794,Hungary,RD&D per thousand units of GDP,1982,0.0
1796,Hungary,RD&D per thousand units of GDP,1984,0.0
1797,Hungary,RD&D per thousand units of GDP,1985,0.0
1799,Hungary,RD&D per thousand units of GDP,1987,0.0
1800,Hungary,RD&D per thousand units of GDP,1988,0.0
1801,Hungary,RD&D per thousand units of GDP,1989,0.0
1802,Hungary,RD&D per thousand units of GDP,1990,0.0
1803,Hungary,RD&D per thousand units of GDP,1991,0.0
1804,Hungary,RD&D per thousand units of GDP,1992,0.0
1795,Hungary,RD&D per thousand units of GDP,1983,0.0
1690,Greece,RD&D per thousand units of GDP,2019,0.0
1689,Greece,RD&D per thousand units of GDP,2018,0.0
1688,Greece,RD&D per thousand units of GDP,2017,0.0
1372,France,RD&D per thousand units of GDP,1983,0.0
1373,France,RD&D per thousand units of GDP,1984,0.0
4186,Turkey,RD&D per thousand units of GDP,1977,0.0
4185,Turkey,RD&D per thousand units of GDP,1976,0.0
4184,Turkey,RD&D per thousand units of GDP,1975,0.0
4183,Turkey,RD&D per thousand units of GDP,1974,0.0
1409,France,RD&D per thousand units of GDP,2020,0.0
1645,Greece,RD&D per thousand units of GDP,1974,0.0
1646,Greece,RD&D per thousand units of GDP,1975,0.0
1647,Greece,RD&D per thousand units of GDP,1976,0.0
1669,Greece,RD&D per thousand units of GDP,1998,0.0
1670,Greece,RD&D per thousand units of GDP,1999,0.0
1674,Greece,RD&D per thousand units of GDP,2003,0.0
1675,Greece,RD&D per thousand units of GDP,2004,0.0
1683,Greece,RD&D per thousand units of GDP,2012,0.0
1684,Greece,RD&D per thousand units of GDP,2013,0.0
1685,Greece,RD&D per thousand units of GDP,2014,0.0
1686,Greece,RD&D per thousand units of GDP,2015,0.0
1687,Greece,RD&D per thousand units of GDP,2016,0.0
1370,France,RD&D per thousand units of GDP,1981,0.0
2517,Lithuania,RD&D per thousand units of GDP,2000,0.0
2518,Lithuania,RD&D per thousand units of GDP,2001,0.0
2519,Lithuania,RD&D per thousand units of GDP,2002,0.0
3633,Slovak Republic,RD&D per thousand units of GDP,1988,0.0
3632,Slovak Republic,RD&D per thousand units of GDP,1987,0.0
3631,Slovak Republic,RD&D per thousand units of GDP,1986,0.0
3630,Slovak Republic,RD&D per thousand units of GDP,1985,0.0
3629,Slovak Republic,RD&D per thousand units of GDP,1984,0.0
3628,Slovak Republic,RD&D per thousand units of GDP,1983,0.0
3627,Slovak Republic,RD&D per thousand units of GDP,1982,0.0
3626,Slovak Republic,RD&D per thousand units of GDP,1981,0.0
3634,Slovak Republic,RD&D per thousand units of GDP,1989,0.0
3625,Slovak Republic,RD&D per thousand units of GDP,1980,0.0
3623,Slovak Republic,RD&D per thousand units of GDP,1978,0.0
2944,Netherlands,RD&D per thousand units of GDP,2004,0.0
3622,Slovak Republic,RD&D per thousand units of GDP,1977,0.0
2960,Netherlands,RD&D per thousand units of GDP,2020,0.0
3055,New Zealand,RD&D per thousand units of GDP,1974,0.0
3621,Slovak Republic,RD&D per thousand units of GDP,1976,0.0
3620,Slovak Republic,RD&D per thousand units of GDP,1975,0.0
3069,New Zealand,RD&D per thousand units of GDP,1988,0.0
3624,Slovak Republic,RD&D per thousand units of GDP,1979,0.0
3635,Slovak Republic,RD&D per thousand units of GDP,1990,0.0
3636,Slovak Republic,RD&D per thousand units of GDP,1991,0.0
3637,Slovak Republic,RD&D per thousand units of GDP,1992,0.0
2799,Mexico,RD&D per thousand units of GDP,2000,0.0
2800,Mexico,RD&D per thousand units of GDP,2001,0.0
2801,Mexico,RD&D per thousand units of GDP,2002,0.0
2802,Mexico,RD&D per thousand units of GDP,2003,0.0
2803,Mexico,RD&D per thousand units of GDP,2004,0.0
2804,Mexico,RD&D per thousand units of GDP,2005,0.0
2805,Mexico,RD&D per thousand units of GDP,2006,0.0
2806,Mexico,RD&D per thousand units of GDP,2007,0.0
2807,Mexico,RD&D per thousand units of GDP,2008,0.0
2808,Mexico,RD&D per thousand units of GDP,2009,0.0
2809,Mexico,RD&D per thousand units of GDP,2010,0.0
2810,Mexico,RD&D per thousand units of GDP,2011,0.0
2811,Mexico,RD&D per thousand units of GDP,2012,0.0
3643,Slovak Republic,RD&D per thousand units of GDP,1998,0.0
3642,Slovak Republic,RD&D per thousand units of GDP,1997,0.0
3641,Slovak Republic,RD&D per thousand units of GDP,1996,0.0
3640,Slovak Republic,RD&D per thousand units of GDP,1995,0.0
3639,Slovak Republic,RD&D per thousand units of GDP,1994,0.0
3638,Slovak Republic,RD&D per thousand units of GDP,1993,0.0
3070,New Zealand,RD&D per thousand units of GDP,1989,0.0
2798,Mexico,RD&D per thousand units of GDP,1999,0.0
3073,New Zealand,RD&D per thousand units of GDP,1992,0.0
3619,Slovak Republic,RD&D per thousand units of GDP,1974,0.0
3360,Poland,RD&D per thousand units of GDP,1997,0.0
3361,Poland,RD&D per thousand units of GDP,1998,0.0
3362,Poland,RD&D per thousand units of GDP,1999,0.0
3363,Poland,RD&D per thousand units of GDP,2000,0.0
3364,Poland,RD&D per thousand units of GDP,2001,0.0
3365,Poland,RD&D per thousand units of GDP,2002,0.0
3366,Poland,RD&D per thousand units of GDP,2003,0.0
3367,Poland,RD&D per thousand units of GDP,2004,0.0
3359,Poland,RD&D per thousand units of GDP,1996,0.0
3368,Poland,RD&D per thousand units of GDP,2005,0.0
3370,Poland,RD&D per thousand units of GDP,2007,0.0
3478,Portugal,RD&D per thousand units of GDP,1974,0.0
3479,Portugal,RD&D per thousand units of GDP,1975,0.0
3480,Portugal,RD&D per thousand units of GDP,1976,0.0
3481,Portugal,RD&D per thousand units of GDP,1977,0.0
3482,Portugal,RD&D per thousand units of GDP,1978,0.0
3483,Portugal,RD&D per thousand units of GDP,1979,0.0
3486,Portugal,RD&D per thousand units of GDP,1982,0.0
3369,Poland,RD&D per thousand units of GDP,2006,0.0
3358,Poland,RD&D per thousand units of GDP,1995,0.0
3357,Poland,RD&D per thousand units of GDP,1994,0.0
3356,Poland,RD&D per thousand units of GDP,1993,0.0
3337,Poland,RD&D per thousand units of GDP,1974,0.0
3338,Poland,RD&D per thousand units of GDP,1975,0.0
3339,Poland,RD&D per thousand units of GDP,1976,0.0
3340,Poland,RD&D per thousand units of GDP,1977,0.0
3341,Poland,RD&D per thousand units of GDP,1978,0.0
3342,Poland,RD&D per thousand units of GDP,1979,0.0
3343,Poland,RD&D per thousand units of GDP,1980,0.0
3344,Poland,RD&D per thousand units of GDP,1981,0.0
3345,Poland,RD&D per thousand units of GDP,1982,0.0
3346,Poland,RD&D per thousand units of GDP,1983,0.0
3347,Poland,RD&D per thousand units of GDP,1984,0.0
3348,Poland,RD&D per thousand units of GDP,1985,0.0
3349,Poland,RD&D per thousand units of GDP,1986,0.0
3350,Poland,RD&D per thousand units of GDP,1987,0.0
3351,Poland,RD&D per thousand units of GDP,1988,0.0
3352,Poland,RD&D per thousand units of GDP,1989,0.0
3353,Poland,RD&D per thousand units of GDP,1990,0.0
3354,Poland,RD&D per thousand units of GDP,1991,0.0
3355,Poland,RD&D per thousand units of GDP,1992,0.0
3101,New Zealand,RD&D per thousand units of GDP,2020,0.0
1111,Estonia,RD&D per thousand units of GDP,2004,0.0
2797,Mexico,RD&D per thousand units of GDP,1998,0.0
2795,Mexico,RD&D per thousand units of GDP,1996,0.0
2638,Luxembourg,RD&D per thousand units of GDP,1980,0.0
2639,Luxembourg,RD&D per thousand units of GDP,1981,0.0
2640,Luxembourg,RD&D per thousand units of GDP,1982,0.0
2641,Luxembourg,RD&D per thousand units of GDP,1983,0.0
2642,Luxembourg,RD&D per thousand units of GDP,1984,0.0
2643,Luxembourg,RD&D per thousand units of GDP,1985,0.0
2644,Luxembourg,RD&D per thousand units of GDP,1986,0.0
2645,Luxembourg,RD&D per thousand units of GDP,1987,0.0
2637,Luxembourg,RD&D per thousand units of GDP,1979,0.0
2646,Luxembourg,RD&D per thousand units of GDP,1988,0.0
2648,Luxembourg,RD&D per thousand units of GDP,1990,0.0
2649,Luxembourg,RD&D per thousand units of GDP,1991,0.0
2650,Luxembourg,RD&D per thousand units of GDP,1992,0.0
2651,Luxembourg,RD&D per thousand units of GDP,1993,0.0
2652,Luxembourg,RD&D per thousand units of GDP,1994,0.0
2653,Luxembourg,RD&D per thousand units of GDP,1995,0.0
2654,Luxembourg,RD&D per thousand units of GDP,1996,0.0
2655,Luxembourg,RD&D per thousand units of GDP,1997,0.0
2647,Luxembourg,RD&D per thousand units of GDP,1989,0.0
2636,Luxembourg,RD&D per thousand units of GDP,1978,0.0
2635,Luxembourg,RD&D per thousand units of GDP,1977,0.0
2634,Luxembourg,RD&D per thousand units of GDP,1976,0.0
2520,Lithuania,RD&D per thousand units of GDP,2003,0.0
2521,Lithuania,RD&D per thousand units of GDP,2004,0.0
2522,Lithuania,RD&D per thousand units of GDP,2005,0.0
2523,Lithuania,RD&D per thousand units of GDP,2006,0.0
2524,Lithuania,RD&D per thousand units of GDP,2007,0.0
2525,Lithuania,RD&D per thousand units of GDP,2008,0.0
2526,Lithuania,RD&D per thousand units of GDP,2009,0.0
2527,Lithuania,RD&D per thousand units of GDP,2010,0.0
2528,Lithuania,RD&D per thousand units of GDP,2011,0.0
2529,Lithuania,RD&D per thousand units of GDP,2012,0.0
2530,Lithuania,RD&D per thousand units of GDP,2013,0.0
2531,Lithuania,RD&D per thousand units of GDP,2014,0.0
2532,Lithuania,RD&D per thousand units of GDP,2015,0.0
2533,Lithuania,RD&D per thousand units of GDP,2016,0.0
2534,Lithuania,RD&D per thousand units of GDP,2017,0.0
2535,Lithuania,RD&D per thousand units of GDP,2018,0.0
3646,Slovak Republic,RD&D per thousand units of GDP,2001,0.0
2632,Luxembourg,RD&D per thousand units of GDP,1974,0.0
2633,Luxembourg,RD&D per thousand units of GDP,1975,0.0
2656,Luxembourg,RD&D per thousand units of GDP,1998,0.0
2796,Mexico,RD&D per thousand units of GDP,1997,0.0
2657,Luxembourg,RD&D per thousand units of GDP,1999,0.0
2659,Luxembourg,RD&D per thousand units of GDP,2001,0.0
2777,Mexico,RD&D per thousand units of GDP,1978,0.0
2778,Mexico,RD&D per thousand units of GDP,1979,0.0
2779,Mexico,RD&D per thousand units of GDP,1980,0.0
2780,Mexico,RD&D per thousand units of GDP,1981,0.0
2781,Mexico,RD&D per thousand units of GDP,1982,0.0
2782,Mexico,RD&D per thousand units of GDP,1983,0.0
2783,Mexico,RD&D per thousand units of GDP,1984,0.0
2784,Mexico,RD&D per thousand units of GDP,1985,0.0
2776,Mexico,RD&D per thousand units of GDP,1977,0.0
2785,Mexico,RD&D per thousand units of GDP,1986,0.0
2787,Mexico,RD&D per thousand units of GDP,1988,0.0
2788,Mexico,RD&D per thousand units of GDP,1989,0.0
2789,Mexico,RD&D per thousand units of GDP,1990,0.0
2790,Mexico,RD&D per thousand units of GDP,1991,0.0
2791,Mexico,RD&D per thousand units of GDP,1992,0.0
2792,Mexico,RD&D per thousand units of GDP,1993,0.0
2793,Mexico,RD&D per thousand units of GDP,1994,0.0
2794,Mexico,RD&D per thousand units of GDP,1995,0.0
2786,Mexico,RD&D per thousand units of GDP,1987,0.0
2775,Mexico,RD&D per thousand units of GDP,1976,0.0
2774,Mexico,RD&D per thousand units of GDP,1975,0.0
2773,Mexico,RD&D per thousand units of GDP,1974,0.0
2660,Luxembourg,RD&D per thousand units of GDP,2002,0.0
2661,Luxembourg,RD&D per thousand units of GDP,2003,0.0
2662,Luxembourg,RD&D per thousand units of GDP,2004,0.0
2663,Luxembourg,RD&D per thousand units of GDP,2005,0.0
2664,Luxembourg,RD&D per thousand units of GDP,2006,0.0
2665,Luxembourg,RD&D per thousand units of GDP,2007,0.0
2666,Luxembourg,RD&D per thousand units of GDP,2008,0.0
2667,Luxembourg,RD&D per thousand units of GDP,2009,0.0
2668,Luxembourg,RD&D per thousand units of GDP,2010,0.0
3645,Slovak Republic,RD&D per thousand units of GDP,2000,0.0
3644,Slovak Republic,RD&D per thousand units of GDP,1999,0.0
2671,Luxembourg,RD&D per thousand units of GDP,2013,0.0
2672,Luxembourg,RD&D per thousand units of GDP,2014,0.0
2673,Luxembourg,RD&D per thousand units of GDP,2015,0.0
2674,Luxembourg,RD&D per thousand units of GDP,2016,0.0
2675,Luxembourg,RD&D per thousand units of GDP,2017,0.0
2676,Luxembourg,RD&D per thousand units of GDP,2018,0.0
2677,Luxembourg,RD&D per thousand units of GDP,2019,0.0
2678,Luxembourg,RD&D per thousand units of GDP,2020,0.0
2658,Luxembourg,RD&D per thousand units of GDP,2000,0.0
1110,Estonia,RD&D per thousand units of GDP,2003,0.0
1798,Hungary,RD&D per thousand units of GDP,1986,0.0
1108,Estonia,RD&D per thousand units of GDP,2001,0.0
802,Czech Republic,RD&D per thousand units of GDP,1977,0.0
1109,Estonia,RD&D per thousand units of GDP,2002,0.0
800,Czech Republic,RD&D per thousand units of GDP,1975,0.0
799,Czech Republic,RD&D per thousand units of GDP,1974,0.0
563,Brazil,RD&D per thousand units of GDP,2020,0.0
562,Brazil,RD&D per thousand units of GDP,2019,0.0
4370,United Kingdom,RD&D per thousand units of GDP,2020,0.0
555,Brazil,RD&D per thousand units of GDP,2012,0.0
549,Brazil,RD&D per thousand units of GDP,2006,0.0
548,Brazil,RD&D per thousand units of GDP,2005,0.0
803,Czech Republic,RD&D per thousand units of GDP,1978,0.0
547,Brazil,RD&D per thousand units of GDP,2004,0.0
545,Brazil,RD&D per thousand units of GDP,2002,0.0
544,Brazil,RD&D per thousand units of GDP,2001,0.0
543,Brazil,RD&D per thousand units of GDP,2000,0.0
542,Brazil,RD&D per thousand units of GDP,1999,0.0
541,Brazil,RD&D per thousand units of GDP,1998,0.0
540,Brazil,RD&D per thousand units of GDP,1997,0.0
539,Brazil,RD&D per thousand units of GDP,1996,0.0
538,Brazil,RD&D per thousand units of GDP,1995,0.0
537,Brazil,RD&D per thousand units of GDP,1994,0.0
536,Brazil,RD&D per thousand units of GDP,1993,0.0
546,Brazil,RD&D per thousand units of GDP,2003,0.0
535,Brazil,RD&D per thousand units of GDP,1992,0.0
804,Czech Republic,RD&D per thousand units of GDP,1979,0.0
806,Czech Republic,RD&D per thousand units of GDP,1981,0.0
940,Denmark,RD&D per thousand units of GDP,1974,0.0
827,Czech Republic,RD&D per thousand units of GDP,2002,0.0
826,Czech Republic,RD&D per thousand units of GDP,2001,0.0
825,Czech Republic,RD&D per thousand units of GDP,2000,0.0
824,Czech Republic,RD&D per thousand units of GDP,1999,0.0
823,Czech Republic,RD&D per thousand units of GDP,1998,0.0
822,Czech Republic,RD&D per thousand units of GDP,1997,0.0
821,Czech Republic,RD&D per thousand units of GDP,1996,0.0
820,Czech Republic,RD&D per thousand units of GDP,1995,0.0
819,Czech Republic,RD&D per thousand units of GDP,1994,0.0
805,Czech Republic,RD&D per thousand units of GDP,1980,0.0
818,Czech Republic,RD&D per thousand units of GDP,1993,0.0
816,Czech Republic,RD&D per thousand units of GDP,1991,0.0
815,Czech Republic,RD&D per thousand units of GDP,1990,0.0
814,Czech Republic,RD&D per thousand units of GDP,1989,0.0
813,Czech Republic,RD&D per thousand units of GDP,1988,0.0
812,Czech Republic,RD&D per thousand units of GDP,1987,0.0
811,Czech Republic,RD&D per thousand units of GDP,1986,0.0
810,Czech Republic,RD&D per thousand units of GDP,1985,0.0
809,Czech Republic,RD&D per thousand units of GDP,1984,0.0
808,Czech Republic,RD&D per thousand units of GDP,1983,0.0
807,Czech Republic,RD&D per thousand units of GDP,1982,0.0
817,Czech Republic,RD&D per thousand units of GDP,1992,0.0
534,Brazil,RD&D per thousand units of GDP,1991,0.0
533,Brazil,RD&D per thousand units of GDP,1990,0.0
532,Brazil,RD&D per thousand units of GDP,1989,0.0
392,Belgium,RD&D per thousand units of GDP,1990,0.0
281,Austria,RD&D per thousand units of GDP,2020,0.0
237,Austria,RD&D per thousand units of GDP,1976,0.0
236,Austria,RD&D per thousand units of GDP,1975,0.0
235,Austria,RD&D per thousand units of GDP,1974,0.0
140,Australia,RD&D per thousand units of GDP,2020,0.0
122,Australia,RD&D per thousand units of GDP,2002,0.0
120,Australia,RD&D per thousand units of GDP,2000,0.0
118,Australia,RD&D per thousand units of GDP,1998,0.0
116,Australia,RD&D per thousand units of GDP,1996,0.0
393,Belgium,RD&D per thousand units of GDP,1991,0.0
114,Australia,RD&D per thousand units of GDP,1994,0.0
111,Australia,RD&D per thousand units of GDP,1991,0.0
110,Australia,RD&D per thousand units of GDP,1990,0.0
108,Australia,RD&D per thousand units of GDP,1988,0.0
106,Australia,RD&D per thousand units of GDP,1986,0.0
104,Australia,RD&D per thousand units of GDP,1984,0.0
102,Australia,RD&D per thousand units of GDP,1982,0.0
98,Australia,RD&D per thousand units of GDP,1978,0.0
97,Australia,RD&D per thousand units of GDP,1977,0.0
96,Australia,RD&D per thousand units of GDP,1976,0.0
95,Australia,RD&D per thousand units of GDP,1975,0.0
112,Australia,RD&D per thousand units of GDP,1992,0.0
394,Belgium,RD&D per thousand units of GDP,1992,0.0
395,Belgium,RD&D per thousand units of GDP,1993,0.0
402,Belgium,RD&D per thousand units of GDP,2000,0.0
531,Brazil,RD&D per thousand units of GDP,1988,0.0
530,Brazil,RD&D per thousand units of GDP,1987,0.0
529,Brazil,RD&D per thousand units of GDP,1986,0.0
528,Brazil,RD&D per thousand units of GDP,1985,0.0
527,Brazil,RD&D per thousand units of GDP,1984,0.0
526,Brazil,RD&D per thousand units of GDP,1983,0.0
525,Brazil,RD&D per thousand units of GDP,1982,0.0
524,Brazil,RD&D per thousand units of GDP,1981,0.0
523,Brazil,RD&D per thousand units of GDP,1980,0.0
522,Brazil,RD&D per thousand units of GDP,1979,0.0
521,Brazil,RD&D per thousand units of GDP,1978,0.0
520,Brazil,RD&D per thousand units of GDP,1977,0.0
519,Brazil,RD&D per thousand units of GDP,1976,0.0
518,Brazil,RD&D per thousand units of GDP,1975,0.0
517,Brazil,RD&D per thousand units of GDP,1974,0.0
411,Belgium,RD&D per thousand units of GDP,2009,0.0
410,Belgium,RD&D per thousand units of GDP,2008,0.0
408,Belgium,RD&D per thousand units of GDP,2006,0.0
407,Belgium,RD&D per thousand units of GDP,2005,0.0
406,Belgium,RD&D per thousand units of GDP,2004,0.0
405,Belgium,RD&D per thousand units of GDP,2003,0.0
404,Belgium,RD&D per thousand units of GDP,2002,0.0
403,Belgium,RD&D per thousand units of GDP,2001,0.0
4229,Turkey,RD&D per thousand units of GDP,2020,0.0
954,Denmark,RD&D per thousand units of GDP,1988,0.0
801,Czech Republic,RD&D per thousand units of GDP,1976,0.0
1082,Estonia,RD&D per thousand units of GDP,1975,0.0
1105,Estonia,RD&D per thousand units of GDP,1998,0.0
1090,Estonia,RD&D per thousand units of GDP,1983,0.0
1089,Estonia,RD&D per thousand units of GDP,1982,0.0
4228,Turkey,RD&D per thousand units of GDP,2019,0.0
1088,Estonia,RD&D per thousand units of GDP,1981,0.0
4222,Turkey,RD&D per thousand units of GDP,2013,0.0
4221,Turkey,RD&D per thousand units of GDP,2012,0.0
1106,Estonia,RD&D per thousand units of GDP,1999,0.0
4220,Turkey,RD&D per thousand units of GDP,2011,0.0
1083,Estonia,RD&D per thousand units of GDP,1976,0.0
1084,Estonia,RD&D per thousand units of GDP,1977,0.0
1087,Estonia,RD&D per thousand units of GDP,1980,0.0
1086,Estonia,RD&D per thousand units of GDP,1979,0.0
1085,Estonia,RD&D per thousand units of GDP,1978,0.0
1101,Estonia,RD&D per thousand units of GDP,1994,0.0
